,Delivery_Year,OrderSumOCountry,name_y,alpha-3
50125,2016.0,2853.0,,
52226,2018.0,12387.0,Hong Kong,HKG
52302,2018.0,621.0,,
55924,2017.0,3583.0,Guyana,GUY
56401,2017.0,1207.0,,
57027,2017.0,19321.0,,
61855,2015.0,2328.0,,
63620,2017.0,2297.0,Sri Lanka,LKA
63742,2017.0,1577.0,,
63922,2016.0,1244.0,,
68521,2016.0,2557.0,,
69463,2018.0,5821.0,,
69531,2017.0,10680.0,,
70689,2016.0,425.0,Armenia,ARM
72732,2017.0,5062.0,Estonia,EST
72904,2017.0,2689.0,,
73772,2016.0,310.0,,
74853,2016.0,325.0,Kuwait,KWT
77518,2017.0,1556.0,,
80825,2016.0,2297.0,Sri Lanka,LKA
81913,2017.0,4591.0,Guinea-Bissau,GNB
86405,2017.0,705.0,,
89545,2017.0,7804.0,,
94591,2015.0,5821.0,,
97200,2017.0,5821.0,,
97235,2016.0,524.0,Chad,TCD
102428,2015.0,14059.0,Mongolia,MNG
108385,2016.0,120.0,Serbia,SRB
120075,2017.0,48302.0,,
124502,2016.0,585.0,,
133532,2015.0,705.0,,
141846,2017.0,8202.0,,
145680,2017.0,1520.0,,
180519,,,,
